,year,month,toxicity,Full Date,Shifted Scores,label
0,2008,11,0.003423929214477539,2008_11,0.029681268930566995,below target
13,2009,1,0.11535656452178955,2009_1,0.6934589137054165,below target
14,2009,9,0.16634953022003174,2009_9,52.9297906235776,target
15,2009,10,0.003142833709716797,2009_10,0.050906216064076394,below target
12,2009,11,0.06173771992325783,2009_11,0.597288044575152,below target
28,2010,2,0.10336339473724365,2010_2,1.3624218764500629,control
29,2010,3,0.07586739212274551,2010_3,1.5370518941012614,control
30,2010,4,0.049359031021595,2010_4,10.287876727612005,target
31,2010,5,0.004797786008566618,2010_5,0.5394741210033983,below target
32,2010,6,0.008893449790775776,2010_6,0.8099178341190137,control
33,2010,7,0.010980681516230106,2010_7,0.2735402653733936,below target
34,2010,8,0.040142834186553955,2010_8,10.315145556241788,target
26,2010,9,0.0038916401099413633,2010_9,0.0385435367546284,below target
27,2010,10,0.10096738487482071,2010_10,1.902331868969501,control
24,2010,11,0.05307558923959732,2010_11,1.500133404903783,control
35,2010,12,0.03538057953119278,2010_12,1.573859037780961,control
37,2011,1,0.02248014509677887,2011_1,0.654037375868261,below target
40,2011,2,0.03437134623527527,2011_2,1.5957416394677673,control
41,2011,3,0.021539418026804924,2011_3,0.7558187962285031,below target
42,2011,4,0.028498124331235886,2011_4,0.7188269841345909,below target
43,2011,5,0.03964531794190407,2011_5,0.9419671307547202,control
44,2011,6,0.04208779335021973,2011_6,1.4703981956221974,control
45,2011,7,0.028623398393392563,2011_7,0.6220795246130976,below target
46,2011,8,0.04601244255900383,2011_8,1.0064268089512014,control
38,2011,9,0.04571861773729324,2011_9,1.1376411090030463,control
39,2011,10,0.040187206119298935,2011_10,1.095814466492328,control
36,2011,11,0.03667336702346802,2011_11,0.9737336874123639,control
47,2011,12,0.037662625312805176,2011_12,0.93603700009203,control
49,2012,1,0.04023625701665878,2012_1,1.0596435929844086,control
52,2012,2,0.03797150030732155,2012_2,1.0485661923741834,control
53,2012,3,0.03621278330683708,2012_3,1.0926721528860541,control
54,2012,4,0.03314149007201195,2012_4,0.7551483193350068,below target
55,2012,5,0.043887391686439514,2012_5,1.070937934693226,control
56,2012,6,0.04098033159971237,2012_6,1.0119870045570156,control
57,2012,7,0.04049491882324219,2012_7,0.9974540324671881,control
58,2012,8,0.04059828072786331,2012_8,0.9467514438413477,control
50,2012,9,0.042881667613983154,2012_9,0.9932266898739622,control
51,2012,10,0.043174099177122116,2012_10,0.9940149615240788,control
48,2012,11,0.04343405365943909,2012_11,0.8982748377818685,control
59,2012,12,0.048352744430303574,2012_12,1.2094594449785305,control
61,2013,1,0.03997880592942238,2013_1,0.9729126905758534,control
64,2013,2,0.04109187424182892,2013_2,1.2370120927695483,control
65,2013,3,0.03321865200996399,2013_3,0.8106031254857721,control
66,2013,4,0.04098016768693924,2013_4,0.8731971629444727,control
67,2013,5,0.04693117365241051,2013_5,1.102172360703004,control
68,2013,6,0.04258061200380325,2013_6,0.953706923014473,control
69,2013,7,0.04464748129248619,2013_7,0.9903529359851783,control
70,2013,8,0.045082394033670425,2013_8,0.9044869881804769,control
62,2013,9,0.04984305426478386,2013_9,1.0403555187162075,control
